logg,Teff,a,b
4.5,11400,0.1368,0.2527
5,11400,0.1364,0.237
5.5,11400,0.1334,0.2312
6,11400,0.1299,0.2262
2.5,11600,0.0777,0.5547
3,11600,0.0981,0.4043
3.5,11600,0.1231,0.3057
4,11600,0.1311,0.265
4.5,11600,0.1331,0.254
5,11600,0.1339,0.2296
5.5,11600,0.1303,0.2297
6,11600,0.1271,0.2279
2.5,11800,0.0734,0.5594
3,11800,0.0939,0.4056
3.5,11800,0.1182,0.3125
4,11800,0.1276,0.2639
4.5,11800,0.1295,0.2543
5,11800,0.131,0.2296
5.5,11800,0.1282,0.2342
6,11800,0.1247,0.2292
2.5,12000,0.0697,0.5636
3,12000,0.0902,0.4054
3.5,12000,0.1151,0.3103
4,12000,0.1244,0.2619
4.5,12000,0.1262,0.2536
5,12000,0.1283,0.2289
5.5,12000,0.1258,0.235
6,12000,0.1221,0.2303 
